Cedula,IdCliente
001-1234567-8,1004
444-3257756-2,1001
852-3698742-7,1003
962-4465871-2,1002
205-3548784-4,1005


001-1234567-8,1004,Juan Perez,5/12/1992
444-3257756-2,1001,Roberto Matos,12/1/1986
852-3698742-7,1003,Minerva Ramos,3/21/1950
962-4465871-2,1002,Angela Zapata,1/1/1985
205-3548784-4,1005,Silvestre Beras,4/2/1988
001-1234567-8,1001,Juan Perez,5/12/1992
444-3257756-2,1002,Roberto Matos,12/1/1986
852-3698742-7,1003,Minerva Ramos,3/21/1950
962-4465871-2,1004,Angela Zapata,1/1/1985
205-3548784-4,1005,Silvestre Beras,4/2/1988
